1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
1月5日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月6日,火,0.3,0,0,0,0,0,0,0,0.3,0,0,0
1月7日,水,0,0,0.3,0,0,0,0,0,0,0,0,0
1月8日,木,0,0,0,0.3,0,0,0,0,0,0,0,0
1月9日,金,0.1,0,0,0.1,0.2,0,0.2,0.1,0.1,0,0,0.1
1月10日,土,0.1,0,0,0.1,0.2,0,0.2,0.1,0.1,0,0,0.1
1月11日,日,0.1,0,0,0.1,0.2,0,0.2,0.1,0.1,0,0,0.1
1月12日,月,0.1,0,0,0.1,0.2,0,0.2,0.1,0.1,0,0,0.1
1月13日,火,0,0,0,0,0,0,0,0,0,0,0,0
1月14日,水,0,0,0,0,0.6,0,0.3,0,0.3,0,0,0
1月15日,木,0,0,0,0,0,0.3,0,0,0,0,0,0
1月16日,金,0.1,0,0,0,0.5,0,0,0,0,0,0,0
1月17日,土,0.1,0,0,0,0.5,0,0,0,0,0,0,0
1月18日,日,0.1,0,0,0,0.5,0,0,0,0,0,0,0
1月19日,月,0,0,0,0,0,0,0,0,0,0,0,0
1月20日,火,0,0,0.3,0,0,0,0.3,0,0.3,0,0,0
1月21日,水,0,0,0,0,0,0,0,0,0,0,0,0
1月22日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月23日,金,0.1,0.2,0,0,0.4,0.3,0.3,0.1,0.1,0.3,0,0.1
1月24日,土,0.1,0.2,0,0,0.4,0.3,0.3,0.1,0.1,0.3,0,0.1
1月25日,日,0.1,0.2,0,0,0.4,0.3,0.3,0.1,0.1,0.3,0,0.1
1月26日,月,0,0,0,0,0,0.3,0,0,0.2,0,0,0
1月27日,火,0.3,0,0,0,0,0,0,0,0,0,0,0
1月28日,水,0,0,0,0,0,0.3,0,0,0,0,0,0
1月29日,木,0,0,0,0,0,0,0,0,0,0,0,0
1月30日,金,0,0,0,0.1,0.1,0.5,0.4,0,0.3,0.7,0,0
1月31日,土,0,0,0,0.1,0.1,0.5,0.4,0,0.3,0.7,0,0
1月合計,,1.5,0.6,0.6,0.8,4.1,2.8,2.9,0.6,2.3,2.3,0,0.6
2月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
2月1日,日,0,0,0,0.1,0.1,0.5,0.4,0,0.3,0.7,0,0
2月2日,月,0,0.6,0.3,0,0.3,0,0.9,0.6,0,1.9,0,0.3
2月3日,火,0,0,0,0,0,0.3,1.5,0,0.3,0.6,0,0
2月4日,水,0,0,0,0,0,0,0,0,0,0.3,0.3,0
2月5日,木,0.3,0,1.5,0.9,1.8,4.2,1.5,2.2,0.6,0.3,0.6,1.2
2月6日,金,3,0.3,1.9,0.7,3.4,9.1,4.3,4.6,10.2,4,3.5,1.6
2月7日,土,3,0.3,1.9,0.7,3.4,9.1,4.3,4.6,10.2,4,3.5,1.6
2月8日,日,3,0.3,1.9,0.7,3.4,9.1,4.3,4.6,10.2,4,3.5,1.6
2月9日,月,6.5,1.2,1.9,1.2,1.5,1.9,5.9,0.6,3.1,3.1,1.9,0.6
2月10日,火,4.7,1.1,5.8,3.9,7.7,4.3,9.6,9.9,10.5,10.5,5.3,2
2月11日,水,4.7,1.1,5.8,3.9,7.7,4.3,9.6,9.9,10.5,10.5,5.3,2
2月12日,木,19.9,15.6,6.5,32.1,30.9,35.5,36.1,52.2,37.7,31.5,16.4,34.6
2月13日,金,283.5,187,385.7,147.9,322,221.6,256.5,339.9,344.8,258,97,378.5
2月14日,土,283.5,187,385.7,147.9,322,221.6,256.5,339.9,344.8,258,97,378.5
2月15日,日,283.5,187,385.7,147.9,322,221.6,256.5,339.9,344.8,258,97,378.5
2月16日,月,178.2,84.9,245.2,186.7,773.5,635.8,442.6,443.8,364.5,277.2,152.5,46.6
2月17日,火,27.8,13.9,62.3,27.8,43.2,22.5,77.6,30.6,37.3,38.3,35.5,11.7
2月18日,水,14,16.8,24.4,27.2,25,88.6,99.1,29.3,37.7,63,24.7,18.2
2月19日,木,40.4,11,15.7,53.2,27.2,78.7,73.8,40.1,40.7,59.3,9.9,11.1
2月20日,金,55.7,18.5,81.4,47.5,61.4,84.5,154.9,120.3,87,69.1,72.5,7.2
2月21日,土,55.7,18.5,81.4,47.5,61.4,84.5,154.9,120.3,87,69.1,72.5,7.2
2月22日,日,55.7,18.5,81.4,47.5,61.4,84.5,154.9,120.3,87,69.1,72.5,7.2
2月23日,月,7.7,9,9.7,9.6,21.1,6.5,5.1,1.9,4.6,5.6,5.2,1.2
2月24日,火,9.6,7.4,3.1,4.6,2.2,1.5,2.5,0.3,0.6,1.2,1.5,0
2月25日,水,53.7,30.4,21.9,49.8,109.6,192.9,125.6,53.1,59.3,87.7,36.4,29.9
2月26日,木,68.4,28.1,80.2,56.6,155.7,40.4,36.6,58.3,61.7,49.1,19.1,6.8
2月27日,金,40.3,22.2,42.8,40.4,63.6,252.2,123,127.2,58,93.4,23.7,11
2月28日,土,40.3,22.2,42.8,40.4,63.6,252.2,123,127.2,58,93.4,23.7,11
2月合計,,1543,883.1,1977,1126.6,2495.1,2567.7,2421.7,2381.6,2111.5,1821.1,880.9,1350.2
3月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
3月1日,日,40.3,22.2,42.8,40.4,63.6,252.2,123,127.2,58,93.4,23.7,11
3月2日,月,245.5,59.7,194.9,179.9,553.4,571,386.7,365.7,362,349.1,145.7,61.1
3月3日,火,21,5.9,23.8,18.4,60.8,15.1,23.1,17.6,16.4,11.7,9.6,2.2
3月4日,水,20.7,10.2,17.1,19.9,14.8,21.9,23.1,6.2,16,25.9,9,8.6
3月5日,木,65.3,25,64.2,84.4,152.5,36.4,38,35.2,39.2,14.8,12,4.6
3月6日,金,132.3,49.5,110.7,113.6,160.9,166.3,224.4,293.5,167.5,33.8,91,36.2
3月7日,土,132.3,49.5,110.7,113.6,160.9,166.3,224.4,293.5,167.5,33.8,91,36.2
3月8日,日,132.3,49.5,110.7,113.6,160.9,166.3,224.4,293.5,167.5,33.8,91,36.2
3月9日,月,8.3,3.7,14.5,8.3,22.8,25.6,18.5,13,14.5,7.4,5.9,7.1
3月10日,火,329.6,119.6,442.3,515.9,675.2,747,602.4,312.9,282.7,224.7,229,132.7
3月11日,水,132.1,47.2,156.2,175.9,177.5,295,334.6,106.8,116.7,174.4,44.1,64.2
3月12日,木,66.5,29.2,81.8,64.5,130.7,146.6,142.4,72.8,112.7,67.9,48.8,42.6
3月13日,金,37.3,19.6,55.1,53.8,53.7,103.5,69.1,52,54.1,50.3,43,15.4
3月14日,土,37.3,19.6,55.1,53.8,53.7,103.5,69.1,52,54.1,50.3,43,15.4
3月15日,日,37.3,19.6,55.1,53.8,53.7,103.5,69.1,52,54.1,50.3,43,15.4
3月16日,月,79.2,81.5,86.3,48.6,111.9,181,82.1,25.6,59.1,62.3,76.2,46.9
3月17日,火,376.1,194.4,282.9,288.9,502.3,240.4,375,94.1,405.3,356.8,54.6,205
3月18日,水,104.3,83.8,144.1,117.7,83.6,158,185.5,135.5,220.6,185.5,90.4,135.8
3月19日,木,119.8,22.7,140.1,179.1,48.2,150.2,51.4,115,83,34.2,91.5,40.8
3月20日,金,119.8,22.7,140.1,179.1,48.2,150.2,51.4,115,83,34.2,91.5,40.8
3月21日,土,119.8,22.7,140.1,179.1,48.2,150.2,51.4,115,83,34.2,91.5,40.8
3月22日,日,119.8,22.7,140.1,179.1,48.2,150.2,51.4,115,83,34.2,91.5,40.8
3月23日,月,188.1,42.1,152.5,156.8,299.8,207,205.2,193.5,179.6,165.7,135.5,39.5
3月24日,火,45.4,29.2,42.7,34,8.5,79,83.4,22.6,57.6,31.5,24.7,27.2
3月25日,水,19.8,10.5,28.1,16.4,48.6,35.8,35.2,24,26.7,31.1,10.5,6.5
3月26日,木,28.5,13.6,28.2,41,100.9,25.7,37.2,9.6,15.7,15.4,13.3,10.8
3月27日,金,26.1,10,23.1,17.9,32.4,30.1,37.4,9.9,27.2,17.9,19.6,11.6
3月28日,土,26.1,10,23.1,17.9,32.4,30.1,37.4,9.9,27.2,17.9,19.6,11.6
3月29日,日,26.1,10,23.1,17.9,32.4,30.1,37.4,9.9,27.2,17.9,19.6,11.6
3月30日,月,17.9,8.6,30,9.9,29,83.6,36.9,10.8,8.9,28.1,32.1,13.3
3月31日,火,0,0.9,8.7,3.1,4.9,120,73,35.5,60.2,72.9,12.9,34.2
3月合計,,2854.6,1115.4,2968.1,3096.3,3974.5,4741.6,4003.4,3134.7,3130.2,2361.4,1804.8,1206.3
4月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
4月1日,水,0.6,1.5,3.7,2.1,2.8,191.6,54,38.6,49.1,25.9,24.7,26.6
4月2日,木,27.8,13.3,16,32.7,13,107.7,37.4,29,38.6,35.1,17,14.2
4月3日,金,43.6,32.9,50.5,61.2,31.3,314.6,218.7,164.6,103.9,152.6,4.5,40.1
4月4日,土,43.6,32.9,50.5,61.2,31.3,314.6,218.7,164.6,103.9,152.6,4.5,40.1
4月5日,日,43.6,32.9,50.5,61.2,31.3,314.6,218.7,164.6,103.9,152.6,4.5,40.1
4月6日,月,40.4,31.8,15.4,38.9,13.6,462.4,120.2,64.2,70.5,113.2,22.5,22.8
4月7日,火,90.1,150,15.4,74.4,29.3,403.7,272.6,71.6,148.1,97.6,43.5,63
4月8日,水,158.3,126.5,42.3,231.8,25.6,320.6,306.5,51.3,267.6,269.1,96.9,59.3
4月9日,木,70.7,28.1,16.1,68.8,29.3,573.8,366.7,113.9,138.9,170.1,95.7,33.3
4月10日,金,131.7,57.3,97.9,69.1,57.4,124.8,144.9,92.9,172.8,143.5,53.3,4.5
4月11日,土,131.7,57.3,97.9,69.1,57.4,124.8,144.9,92.9,172.8,143.5,53.3,4.5
4月12日,日,131.7,57.3,97.9,69.1,57.4,124.8,144.9,92.9,172.8,143.5,53.3,4.5
4月13日,月,259.9,288.6,322.8,209.9,146.9,194.1,392.9,139.5,320.1,216.3,108.3,58.6
4月14日,火,14.5,34,34.3,19.8,82.4,73.3,29.4,12.6,50.9,28.8,17.6,29.4
4月15日,水,28.7,25,29.6,22.2,30.6,70.1,149.4,51.9,70.6,44.4,70.6,5.6
4月16日,木,30.9,19.8,36.4,19.8,25.3,56.8,24.6,21.3,42.6,33,7.4,11
4月17日,金,18.3,13.2,14.2,8.4,13.1,24,25.2,2.4,13.1,14.3,11.2,2.6
4月18日,土,18.3,13.2,14.2,8.4,13.1,24,25.2,2.4,13.1,14.3,11.2,2.6
4月19日,日,18.3,13.2,14.2,8.4,13.1,24,25.2,2.4,13.1,14.3,11.2,2.6
4月20日,月,27.5,4.9,7.1,10.5,8.6,24.1,14.5,4.9,7.7,2.8,9,0.6
4月21日,火,1.9,5.2,2.2,4.6,8.6,4.3,2.8,0.9,0.3,4.6,2.2,1.2
4月22日,水,7.4,5.9,7.4,8,9.9,13,16.7,5,7.7,5,11.7,1.2
4月23日,木,5.6,0,0.9,5.9,3.7,12.6,14.5,10.1,12,8.9,12,0.3
4月24日,金,5.1,1.7,3,2.5,0.6,2.3,5.8,2.6,16.6,4.6,1.7,0.1
4月25日,土,5.1,1.7,3,2.5,0.6,2.3,5.8,2.6,16.6,4.6,1.7,0.1
4月26日,日,5.1,1.7,3,2.5,0.6,2.3,5.8,2.6,16.6,4.6,1.7,0.1
4月27日,月,0.3,1.5,2.2,0.6,0.6,4,5.3,4,2.5,1.5,1.5,0
4月28日,火,0,0.8,0.8,0.3,0.9,1,1.4,0.8,5.8,0.8,0.6,0
4月29日,水,0,0.8,0.8,0.3,0.9,1,1.4,0.8,5.8,0.8,0.6,0
4月30日,木,0,7.7,5.2,4,8,6.2,4.9,2.5,10.2,6.2,4,0.9
4月合計,,1360.8,1060.7,1055.6,1178.4,747.2,3917.1,2999,1410.2,2168,2009,758.2,470
5月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
5月1日,金,4.8,8.1,6.2,4.5,3.6,1.6,1,0.4,0.5,1.2,1,0.3
5月2日,土,4.8,8.1,6.2,4.5,3.6,1.6,1,0.4,0.5,1.2,1,0.3
5月3日,日,4.8,8.1,6.2,4.5,3.6,1.6,1,0.4,0.5,1.2,1,0.3
5月4日,月,4.8,8.1,6.2,4.5,3.6,1.6,1,0.4,0.5,1.2,1,0.3
5月5日,火,4.8,8.1,6.2,4.5,3.6,1.6,1,0.4,0.5,1.2,1,0.3
5月6日,水,4.8,8.1,6.2,4.5,3.6,1.6,1,0.4,0.5,1.2,1,0.3
5月7日,木,0.3,3.6,0.9,0,0.9,0.3,0.3,0,0.8,0.3,0.3,0.3
5月8日,金,0.2,3.6,5.1,0.1,1.2,2.3,2.2,5.2,0.5,3.9,1.2,0.7
5月9日,土,0.2,3.6,5.1,0.1,1.2,2.3,2.2,5.2,0.5,3.9,1.2,0.7
5月10日,日,0.2,3.6,5.1,0.1,1.2,2.3,2.2,5.2,0.5,3.9,1.2,0.7
5月合計,,29.7,63,53.4,27.3,26.1,16.8,12.9,18,5.3,19.2,9.9,4.2
累計,,5789.6,3122.8,6054.7,5429.4,7247,11246,9439.9,6945.1,7417.3,6213,3453.8,3031.3
